rank,metric,frame_index,timestamp_sec,pred_relative_yaw,oxts_absolute_yaw,oxts_relative_yaw,yaw_error,abs_yaw_error,pred_relative_pitch,oxts_absolute_pitch,oxts_relative_pitch,pitch_error,abs_pitch_error,pred_relative_roll,oxts_absolute_roll,oxts_relative_roll,roll_error,abs_roll_error,tracked_point_count,inlier_count,inlier_ratio,confidence,warnings
6,pitch,76,7.6,0.008112596297165079,-29.246382745366287,-1.1549683234247254,1.1630809197218923,1.1630809197218923,-6.183426966302069,0.34898859301418445,-0.06142107563803734,-6.122005890664042,6.122005890664042,-0.0013231776404544588,0.570035710375656,-0.1068566287918884,0.10553345115144452,0.10553345115144452,250,230,0.92,0.36800000000000005,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
7,pitch,80,8.0,0.07406531595932954,-34.40953462040818,-1.4093615844628005,1.4834269004221312,1.4834269004221312,-6.1795649434500115,0.07534395005970325,-0.06921330165181416,-6.110351641798189,6.110351641798189,-0.5541839252047341,0.3689848200642502,0.036268228431794114,-0.5904521536365337,0.5904521536365337,243,226,0.9300411522633745,0.3720164609053498,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
8,pitch,66,6.6,-0.3635108286841508,-21.799764873610002,-0.16123032354983025,-0.2022805051343255,0.2022805051343255,-5.952081724798186,0.40955023195951246,-0.09608502224344306,-5.855996702554734,5.855996702554734,0.12086994686006639,1.0596281463149444,0.006990085100596843,0.11387986175947162,0.11387986175947162,271,249,0.9188191881918819,0.3675276752767528,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
9,pitch,73,7.3,-0.3327148789937796,-26.009629569113237,-0.8779432294789444,0.5452283504851607,0.5452283504851607,-5.6374614390035696,0.5013953665189834,0.0884646835681906,-5.725926122571764,5.725926122571764,0.3281347674185912,0.7528092470223886,-0.039648679423066824,0.3677834468416563,0.3677834468416563,251,234,0.9322709163346613,0.37290836653386455,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
10,pitch,78,7.8,0.04968790186458872,-31.770892086492207,-1.204471876924032,1.254159778788619,1.254159778788619,-5.321972067018044,0.21205167997791766,-0.07207809062745696,-5.249893976390581,5.249893976390581,-0.01699926150683308,0.25009607757460434,-0.1242172499843548,0.10721798847751529,0.10721798847751529,247,227,0.9190283400809717,0.3676113360323887,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
1,roll,117,11.7,2.1039725388152393,-85.06759807689991,-1.1470042100723958,3.2509767488876378,3.2509767488876378,4.463279350692246,0.574905851634268,-0.08617285238767636,4.549452203079909,4.549452203079909,-15.361342474660125,-1.1757666913879623,-0.06124918829948456,-15.300093286360635,15.300093286360635,60,57,0.95,0.22799999999999998,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
2,roll,119,11.9,0.17625107041286073,-87.10870292627396,-1.0206097204665525,1.1968607908794127,1.1968607908794127,-1.1718489080593903,0.48271694239771856,-0.022345354010099072,-1.1495035540492893,1.1495035540492893,5.6441497891165415,-1.0963547409828303,0.056379047040877595,5.587770742075662,5.587770742075662,60,59,0.9833333333333333,0.236,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
3,roll,118,11.8,-0.2790012075661078,-86.08809320580743,-1.0204951289074984,0.7414939213414016,0.7414939213414016,-0.9911177345018047,0.5050622964078206,-0.06984355522644137,-0.9212741792753718,0.9212741792753718,3.0233454419632886,-1.1527337880237034,0.023032903364253343,3.0003125385990472,3.0003125385990472,60,60,1.0,0.24,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
4,roll,34,3.4,-0.27275269676481034,-46.04607825639715,0.7089206799153658,-0.9816733766801633,0.9816733766801633,7.997665195443932,0.6260136869599374,0.10445020605234845,7.893214989391595,7.893214989391595,-1.8141869606568215,1.6221581095743867,0.32509625295722344,-2.13928321361405,2.13928321361405,483,420,0.8695652173913043,0.34782608695652173,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
5,roll,35,3.5,0.0014095355541089824,-45.24766156888235,0.7984166875148162,-0.7970071519607131,0.7970071519607131,6.676449349973711,0.8132562944086905,0.1872426074487521,6.489206742524971,6.489206742524971,-0.6452560481947036,1.7244883717847517,0.10233026221035857,-0.7475863104050688,0.7475863104050688,470,416,0.8851063829787233,0.35404255319148936,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
6,roll,38,3.8,0.011559090815131621,-42.726761861865754,0.9042419922754448,-0.8926829014603186,0.8926829014603186,6.86368878347595,0.7441002885364001,-0.19933201692600733,7.063020800401944,7.063020800401944,-0.605887148579389,1.5661801329901055,0.02280372024620192,-0.6286908688256005,0.6286908688256005,452,409,0.9048672566371682,0.3619469026548673,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
7,roll,29,2.9,-0.27956543452696525,-49.64660233677876,0.7524081765657797,-1.0319736110927522,1.0319736110927522,2.96185269829286,0.7867283484941334,-0.16042818263662184,3.1222808809294804,3.1222808809294804,-0.2684935040346607,1.6593430704783771,0.3425141699292169,-0.6110076739638828,0.6110076739638828,509,438,0.8605108055009824,0.344204322200393,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
8,roll,37,3.7,0.10087466907444143,-43.63100385414121,0.7995626031050733,-0.6986879340306302,0.6986879340306302,4.415827049336513,0.9434323054624136,-0.05723848373355622,4.47306553307007,4.47306553307007,-0.5880609065114887,1.5433764127438985,0.0024064227395399485,-0.5904673292510267,0.5904673292510267,457,420,0.9190371991247265,0.3676148796498906,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
9,roll,80,8.0,0.07406531595932954,-34.40953462040818,-1.4093615844628005,1.4834269004221312,1.4834269004221312,-6.1795649434500115,0.07534395005970325,-0.06921330165181416,-6.110351641798189,6.110351641798189,-0.5541839252047341,0.3689848200642502,0.036268228431794114,-0.5904521536365337,0.5904521536365337,243,226,0.9300411522633745,0.3720164609053498,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
10,roll,116,11.6,-1.746012740782547,-83.92059386682752,-1.022729664308514,-0.723283076474047,0.723283076474047,-0.6281090110429873,0.6610787040219438,-0.07356778089479121,-0.5545412301482031,0.5545412301482031,0.5244491572584674,-1.1145175030884773,-0.035809862195662845,0.5602590194541222,0.5602590194541222,60,47,0.7833333333333333,0.188,approximate_K_used|intrinsics_not_calibrated|pose_for_debug_only
