frame_index,time_sec,yaw,pitch,roll,raw_yaw,raw_pitch,raw_roll,smoothed_yaw,smoothed_pitch,smoothed_roll,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,warnings,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count,selected_horizon_y_at_center,selected_vanishing_point_x,selected_vanishing_point_y,raw_vp_yaw,image_geometry_yaw,calibrated_heading_yaw,comparison_ready,pose_semantics,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,selected_cluster_id,second_best_cluster_id,yaw_warning_flags
14,1.4,-12.7,1.08,-2.75,12.7,1.08,-2.75,,,,0.6,0.15,0.85,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",142,109,4,29,173,43,175.33,663.15,137.84,12.7,12.7,,False,single_frame_vanishing_point_image_geometry_yaw,411.9087301818207,True,0.9796,0.2139,4,3,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
15,1.5,-64.39,1.52,-0.0,-64.39,1.52,-0.0,,,,0.68,0.4,0.83,0.81,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",160,121,5,34,321,44,170.5,230.89,106.86,-64.39,-64.39,,False,single_frame_vanishing_point_image_geometry_yaw,433.3687436814058,True,0.9991,0.3614,2,3,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
16,1.6,-66.88,1.2,-3.24,66.88,1.2,-3.24,,,,0.61,0.15,0.89,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",145,88,3,54,773,47,174.02,1058.9,246.73,66.88,66.88,,False,single_frame_vanishing_point_image_geometry_yaw,839.7405414769494,True,0.9997,0.0983,5,4,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
17,1.7,-46.9,0.79,-0.69,46.9,0.79,-0.69,,,,0.65,0.24,0.89,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",157,91,5,61,605,45,178.4,820.81,202.79,46.9,46.9,,False,single_frame_vanishing_point_image_geometry_yaw,242.1106600296651,True,0.9912,0.1603,3,4,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
18,1.8,-63.33,0.58,-0.0,63.33,0.58,-0.0,,,,0.64,0.25,0.89,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",166,106,5,55,847,44,180.74,993.32,242.18,63.33,63.33,,False,single_frame_vanishing_point_image_geometry_yaw,176.94991438257335,True,0.9969,0.0567,6,5,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
19,1.9,-21.39,-1.33,-1.68,21.39,-1.33,-1.68,,,,0.63,0.25,0.85,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",163,103,4,56,985,47,201.47,694.25,196.23,21.39,21.39,,False,single_frame_vanishing_point_image_geometry_yaw,302.5793571941087,True,0.9733,0.134,3,2,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
20,2.0,-25.07,-1.05,-1.61,25.07,-1.05,-1.61,,,,0.71,0.45,0.87,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",198,124,6,68,877,63,198.34,708.47,188.49,25.07,25.07,,False,single_frame_vanishing_point_image_geometry_yaw,16.189996911673592,True,0.9708,0.1539,5,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
21,2.1,-23.79,-0.58,-1.86,-23.79,-0.58,-1.86,,,,0.67,0.4,0.81,0.8,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\""]""]",173,124,3,46,553,65,193.26,538.55,154.07,-23.79,-23.79,,False,single_frame_vanishing_point_image_geometry_yaw,173.37111293407568,True,0.9977,0.3707,4,5,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
22,2.2,-25.95,-0.34,-2.05,25.95,-0.34,-2.05,,,,0.61,0.15,0.87,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",194,132,4,58,1009,72,190.68,712.01,200.42,25.95,25.95,,False,single_frame_vanishing_point_image_geometry_yaw,179.54579944961122,True,0.9832,0.1536,5,6,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
23,2.3,-51.94,0.18,-1.45,51.94,0.18,-1.45,,,,0.64,0.24,0.88,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",198,130,3,65,1220,56,185.02,859.82,195.6,51.94,51.94,,False,single_frame_vanishing_point_image_geometry_yaw,147.88856784755208,True,0.9929,0.0869,6,5,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
24,2.4,-22.8,0.67,-0.0,22.8,0.67,-0.0,,,,0.64,0.24,0.86,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",208,136,4,68,1027,64,179.77,699.61,185.29,22.8,22.8,,False,single_frame_vanishing_point_image_geometry_yaw,160.54139715350684,True,0.9965,0.258,5,6,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
25,2.5,-15.47,-0.2,-1.71,-15.47,-0.2,-1.71,,,,0.66,0.3,0.87,0.8,full,"[""Yaw reliability warning: [\""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",203,118,4,81,1674,47,189.2,569.25,147.27,-15.47,-15.47,,False,single_frame_vanishing_point_image_geometry_yaw,135.79120000942623,True,0.9952,0.1547,2,3,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
26,2.6,-23.87,0.61,-0.0,23.87,0.61,-0.0,,,,0.62,0.15,0.91,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""vp_side_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",222,138,5,79,1804,59,180.37,703.75,187.72,23.87,23.87,,False,single_frame_vanishing_point_image_geometry_yaw,140.4508899936202,True,0.9813,0.179,3,4,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
27,2.7,-38.9,0.97,-0.0,38.9,0.97,-0.0,,,,0.7,0.44,0.85,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",208,124,8,76,1190,61,176.47,771.91,197.98,38.9,38.9,,False,single_frame_vanishing_point_image_geometry_yaw,68.92788405282724,True,0.9947,0.1303,4,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
28,2.8,-44.5,0.83,-0.94,44.5,0.83,-0.94,,,,0.72,0.44,0.94,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",193,112,7,74,1566,61,178.0,804.76,188.89,44.5,44.5,,False,single_frame_vanishing_point_image_geometry_yaw,34.08446273597402,True,0.976,0.1379,5,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
29,2.9,-31.87,1.08,-0.0,31.87,1.08,-0.0,,,,0.7,0.44,0.86,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",224,147,3,74,1485,67,175.25,737.27,189.99,31.87,31.87,,False,single_frame_vanishing_point_image_geometry_yaw,67.4989636957487,True,0.98,0.1751,3,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
30,3.0,-37.76,0.8,-0.0,37.76,0.8,-0.0,,,,0.7,0.44,0.85,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",225,147,7,71,896,74,178.29,765.86,189.44,37.76,37.76,,False,single_frame_vanishing_point_image_geometry_yaw,28.595289821927,True,0.9793,0.1886,5,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
31,3.1,-34.09,0.42,-0.78,34.09,0.42,-0.78,,,,0.7,0.44,0.85,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",234,146,7,81,1722,74,182.4,747.56,179.16,34.09,34.09,,False,single_frame_vanishing_point_image_geometry_yaw,20.989721294004895,True,0.9987,0.2085,3,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
32,3.2,-3.12,0.12,-0.0,3.12,0.12,-0.0,,,,0.62,0.24,0.83,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",224,112,4,108,2695,63,185.65,631.19,131.26,3.12,3.12,,False,single_frame_vanishing_point_image_geometry_yaw,125.8427069797848,True,0.9936,0.0794,3,4,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
33,3.3,-47.2,1.32,-2.0,47.2,1.32,-2.0,,,,0.62,0.24,0.82,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",224,134,4,86,2166,78,172.68,822.94,184.87,47.2,47.2,,False,single_frame_vanishing_point_image_geometry_yaw,199.1032259909417,True,0.9817,0.1477,3,4,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
34,3.4,-47.68,0.75,-1.61,47.68,0.75,-1.61,,,,0.71,0.44,0.88,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",243,161,2,80,1586,82,178.86,826.36,191.46,47.68,47.68,,False,single_frame_vanishing_point_image_geometry_yaw,7.424587530630895,True,0.9697,0.1854,3,2,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
35,3.5,-46.29,1.0,-0.0,46.29,1.0,-0.0,,,,0.71,0.44,0.89,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",222,132,3,87,2354,65,176.17,816.6,179.48,46.29,46.29,,False,single_frame_vanishing_point_image_geometry_yaw,15.452443172521305,True,0.9894,0.2311,4,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
36,3.6,-57.15,2.06,-0.0,57.15,2.06,-0.0,,,,0.7,0.44,0.87,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",214,132,5,77,1716,69,164.65,910.57,177.28,57.15,57.15,,False,single_frame_vanishing_point_image_geometry_yaw,93.99574937197961,True,0.9662,0.088,4,3,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
37,3.7,-53.77,1.59,-0.84,53.77,1.59,-0.84,,,,0.71,0.45,0.85,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",232,155,4,73,1121,79,169.77,876.23,186.4,53.77,53.77,,False,single_frame_vanishing_point_image_geometry_yaw,35.5304095107276,True,0.9824,0.1561,6,7,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
38,3.8,-54.38,1.2,-0.74,54.38,1.2,-0.74,,,,0.7,0.44,0.86,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",234,147,6,81,1474,90,174.03,882.02,180.43,54.38,54.38,,False,single_frame_vanishing_point_image_geometry_yaw,8.316549765377442,True,0.9721,0.2707,5,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
39,3.9,-46.97,1.96,-1.15,46.97,1.96,-1.15,,,,0.71,0.44,0.87,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",230,148,3,79,1634,69,165.7,821.35,170.23,46.97,46.97,,False,single_frame_vanishing_point_image_geometry_yaw,61.521450730619115,True,0.9864,0.1432,5,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
40,4.0,-58.75,1.64,-1.1,58.75,1.64,-1.1,,,,0.7,0.44,0.84,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",266,163,4,99,2637,71,169.21,929.11,186.8,58.75,58.75,,False,single_frame_vanishing_point_image_geometry_yaw,109.02652200267602,True,0.9707,0.1604,6,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
41,4.1,-66.89,1.47,-2.49,66.89,1.47,-2.49,,,,0.64,0.25,0.85,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",250,146,3,101,2994,71,171.1,1059.24,184.51,66.89,66.89,,False,single_frame_vanishing_point_image_geometry_yaw,130.15014790617795,True,0.9763,0.0307,7,6,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
42,4.2,-66.42,1.3,-1.13,66.42,1.3,-1.13,,,,0.68,0.44,0.8,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",232,144,5,83,2487,61,172.87,1049.42,199.43,66.42,66.42,,False,single_frame_vanishing_point_image_geometry_yaw,17.8616572579366,True,0.9863,0.0366,8,7,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
43,4.3,-68.36,1.03,-1.59,68.36,1.03,-1.59,,,,0.69,0.45,0.82,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",277,151,2,124,5497,60,175.83,1092.32,192.08,68.36,68.36,,False,single_frame_vanishing_point_image_geometry_yaw,43.52507897752729,True,0.9822,0.0111,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
44,4.4,-70.59,0.5,-0.0,70.59,0.5,-0.0,,,,0.69,0.45,0.82,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",276,157,3,116,4690,59,181.55,1151.72,180.28,70.59,70.59,,False,single_frame_vanishing_point_image_geometry_yaw,60.56071333793891,True,0.9841,0.0094,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
45,4.5,-69.94,1.37,-0.76,69.94,1.37,-0.76,,,,0.7,0.44,0.87,0.79,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",284,146,3,135,6512,61,172.12,1133.21,190.32,69.94,69.94,,False,single_frame_vanishing_point_image_geometry_yaw,21.0575805827735,True,0.9728,0.0227,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
46,4.6,-67.43,1.05,-1.51,67.43,1.05,-1.51,,,,0.71,0.45,0.88,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",295,176,5,114,4414,55,175.62,1070.97,199.56,67.43,67.43,,False,single_frame_vanishing_point_image_geometry_yaw,62.92213600951577,True,0.9871,0.0292,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
47,4.7,-68.36,0.21,-0.99,68.36,0.21,-0.99,,,,0.69,0.44,0.81,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",261,160,3,98,3580,51,184.77,1092.41,192.76,68.36,68.36,,False,single_frame_vanishing_point_image_geometry_yaw,22.49252320216659,True,0.9815,0.0466,5,4,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
48,4.8,-44.15,0.53,-2.2,44.15,0.53,-2.2,,,,0.62,0.25,0.82,0.8,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",305,197,1,107,3859,60,181.26,802.52,159.4,44.15,44.15,,False,single_frame_vanishing_point_image_geometry_yaw,291.80319000997923,True,0.9997,0.1524,5,6,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
49,4.9,-71.01,0.31,-0.0,71.01,0.31,-0.0,,,,0.64,0.25,0.85,0.82,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",252,161,2,89,2885,47,183.68,1164.46,201.63,71.01,71.01,,False,single_frame_vanishing_point_image_geometry_yaw,364.39530252186296,True,0.9906,0.0094,8,7,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
50,5.0,-71.7,0.38,-0.81,71.7,0.38,-0.81,,,,0.71,0.45,0.87,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",273,188,1,84,2446,43,182.87,1186.37,207.03,71.7,71.7,,False,single_frame_vanishing_point_image_geometry_yaw,22.56563980923195,True,0.994,0.0065,6,5,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
51,5.1,-74.97,-0.34,-0.0,74.97,-0.34,-0.0,,,,0.63,0.25,0.82,0.83,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""large_temporal_jump\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",278,152,2,124,5345,34,190.67,1317.48,193.62,74.97,74.97,,False,single_frame_vanishing_point_image_geometry_yaw,131.79400669226212,True,0.9765,0.0062,8,7,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
52,5.2,-73.66,0.36,-1.13,73.66,0.36,-1.13,,,,0.69,0.45,0.8,0.81,full,"[""Yaw reliability warning: [\""yaw_sign_reference_flip\"", \""high_cluster_ambiguity\"", \""low_line_support_consistency\""]""]",254,165,2,87,2636,39,183.08,1258.84,207.45,73.66,73.66,,False,single_frame_vanishing_point_image_geometry_yaw,60.24880496740173,True,0.9767,0.0083,7,6,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
