frame_index,time_sec,pred_yaw,oxts_yaw,yaw_error,abs_yaw_error,pred_pitch,oxts_pitch,pitch_error,abs_pitch_error,pred_roll,oxts_roll,roll_error,abs_roll_error,confidence,yaw_confidence,pitch_confidence,roll_confidence,status,detected_line_count,near_horizontal_count,near_vertical_count,perspective_line_count,vanishing_point_candidate_count,horizon_candidate_count
12,1.2,-29.08,-61.313340848571116,32.23334084857112,32.23334084857112,1.95,0.48896218236464456,1.4610378176353553,1.4610378176353553,-0.92,1.1582341828569591,-2.078234182856959,2.078234182856959,0.63,0.24,0.85,0.8,full,148,112,2,34,225,52
13,1.3,-63.05,-60.604534760214776,-2.4454652397852215,2.4454652397852215,0.69,0.6778090716397639,0.012190928360236053,0.012190928360236053,-0.9,1.16866201472834,-2.06866201472834,2.06866201472834,0.68,0.39,0.85,0.81,full,118,94,1,23,155,39
14,1.4,-12.7,-59.92603813922085,47.22603813922085,47.22603813922085,1.08,0.5979387549985272,0.48206124500147285,0.48206124500147285,-2.75,1.2559807827062777,-4.005980782706278,4.005980782706278,0.6,0.15,0.85,0.81,full,142,109,4,29,173,43
15,1.5,-64.39,-59.25544833579974,-5.134551664200259,5.134551664200259,1.52,0.5152609451611493,1.0047390548388506,1.0047390548388506,-0.0,1.2838838273291486,-1.2838838273291486,1.2838838273291486,0.68,0.4,0.83,0.81,full,160,121,5,34,321,44
16,1.6,-66.88,-58.58119160248979,-8.298808397510207,8.298808397510207,1.2,0.7540124583921634,0.4459875416078366,0.4459875416078366,-3.24,1.116293672253383,-4.356293672253383,4.356293672253383,0.61,0.15,0.89,0.8,full,145,88,3,54,773,47
17,1.7,-46.9,-57.96818405747932,11.068184057479321,11.068184057479321,0.79,0.4968689999374499,0.29313100006255016,0.29313100006255016,-0.69,1.011900761980547,-1.7019007619805469,1.7019007619805469,0.65,0.24,0.89,0.81,full,157,91,5,61,605,45
18,1.8,-63.33,-57.33581053899343,-5.99418946100657,5.99418946100657,0.58,0.028476002418001918,0.551523997581998,0.551523997581998,-0.0,0.991045098237785,-0.991045098237785,0.991045098237785,0.64,0.25,0.89,0.79,full,166,106,5,55,847,44
19,1.9,-21.39,-56.670434651508,35.280434651508,35.280434651508,-1.33,-0.34136825433894447,-0.9886317456610556,0.9886317456610556,-1.68,1.0881041487329464,-2.768104148732946,2.768104148732946,0.63,0.25,0.85,0.8,full,163,103,4,56,985,47
20,2.0,-25.07,-55.91298444634506,30.842984446345056,30.842984446345056,-1.05,-0.7247343150609783,-0.32526568493902175,0.32526568493902175,-1.61,1.4444266015248053,-3.0544266015248054,3.0544266015248054,0.71,0.45,0.87,0.8,full,198,124,6,68,877,63
21,2.1,-23.79,-55.23964444550732,31.449644445507317,31.449644445507317,-0.58,-0.622919714866231,0.04291971486623103,0.04291971486623103,-1.86,1.506248747619421,-3.366248747619421,3.366248747619421,0.67,0.4,0.81,0.8,full,173,124,3,46,553,65
22,2.2,-25.95,-54.48918432544497,28.539184325444968,28.539184325444968,-0.34,-0.3381596906862119,-0.0018403093137881466,0.0018403093137881466,-2.05,1.3776197226125513,-3.427619722612551,3.427619722612551,0.61,0.15,0.87,0.8,full,194,132,4,58,1009,72
23,2.3,-51.94,-53.80593215475145,1.8659321547514551,1.8659321547514551,0.18,-0.07517206272116402,0.255172062721164,0.255172062721164,-1.45,1.2601060788312195,-2.7101060788312195,2.7101060788312195,0.64,0.24,0.88,0.8,full,198,130,3,65,1220,56
24,2.4,-22.8,-53.13505587243277,30.335055872432772,30.335055872432772,0.67,-0.15968333750296043,0.8296833375029604,0.8296833375029604,-0.0,1.2516835992427964,-1.2516835992427964,1.2516835992427964,0.64,0.24,0.86,0.81,full,208,136,4,68,1027,64
25,2.5,-15.47,-52.505719030261076,37.03571903026108,37.03571903026108,-0.2,-0.14123409649974794,-0.05876590350025207,0.05876590350025207,-1.71,1.2379326121596568,-2.947932612159657,2.947932612159657,0.66,0.3,0.87,0.8,full,203,118,4,81,1674,47
26,2.6,-23.87,-51.70976606126534,27.83976606126534,27.83976606126534,0.61,0.3924187938851008,0.21758120611489917,0.21758120611489917,-0.0,0.9871489852308954,-0.9871489852308954,0.9871489852308954,0.62,0.15,0.91,0.81,full,222,138,5,79,1804,59
27,2.7,-38.9,-51.0307537782558,12.130753778255801,12.130753778255801,0.97,0.8412739305905877,0.12872606940941222,0.12872606940941222,-0.0,0.9736271812658079,-0.9736271812658079,0.9736271812658079,0.7,0.44,0.85,0.8,full,208,124,8,76,1190,61
28,2.8,-44.5,-50.39901051334455,5.89901051334455,5.89901051334455,0.83,0.9471565311307639,-0.11715653113076396,0.11715653113076396,-0.94,1.3168289005491711,-2.256828900549171,2.256828900549171,0.72,0.44,0.94,0.79,full,193,112,7,74,1566,61
29,2.9,-31.87,-49.64660233677876,17.776602336778762,17.776602336778762,1.08,0.7867283484941334,0.29327165150586665,0.29327165150586665,-0.0,1.6593430704783771,-1.6593430704783771,1.6593430704783771,0.7,0.44,0.86,0.81,full,224,147,3,74,1485,67
30,3.0,-37.76,-48.96993918072925,11.20993918072925,11.20993918072925,0.8,0.6986647353825258,0.10133526461747422,0.10133526461747422,-0.0,1.796967532868801,-1.796967532868801,1.796967532868801,0.7,0.44,0.85,0.8,full,225,147,7,71,896,74
31,3.1,-34.09,-48.21924987754885,14.129249877548844,14.129249877548844,0.42,0.6010900228717466,-0.18109002287174664,0.18109002287174664,-0.78,1.3663324540484743,-2.1463324540484745,2.1463324540484745,0.7,0.44,0.85,0.81,full,234,146,7,81,1722,74
32,3.2,-3.12,-47.498640858612816,44.37864085861282,44.37864085861282,0.12,0.5145161000274793,-0.3945161000274793,0.3945161000274793,-0.0,1.1123402634669803,-1.1123402634669803,1.1123402634669803,0.62,0.24,0.83,0.8,full,224,112,4,108,2695,63
33,3.3,-47.2,-46.75499893631252,-0.44500106368748504,0.44500106368748504,1.32,0.5215634809075884,0.7984365190924116,0.7984365190924116,-2.0,1.2970618566171574,-3.2970618566171574,3.2970618566171574,0.62,0.24,0.82,0.8,full,224,134,4,86,2166,78
34,3.4,-47.68,-46.04607825639715,-1.6339217436028477,1.6339217436028477,0.75,0.6260136869599374,0.12398631304006258,0.12398631304006258,-1.61,1.6221581095743867,-3.232158109574387,3.232158109574387,0.71,0.44,0.88,0.8,full,243,161,2,80,1586,82
35,3.5,-46.29,-45.24766156888235,-1.0423384311176491,1.0423384311176491,1.0,0.8132562944086905,0.18674370559130948,0.18674370559130948,-0.0,1.7244883717847517,-1.7244883717847517,1.7244883717847517,0.71,0.44,0.89,0.81,full,222,132,3,87,2354,65
36,3.6,-57.15,-44.43056645724628,-12.71943354275372,12.71943354275372,2.06,1.000670789195983,1.059329210804017,1.059329210804017,-0.0,1.540969990004349,-1.540969990004349,1.540969990004349,0.7,0.44,0.87,0.8,full,214,132,5,77,1716,69
37,3.7,-53.77,-43.63100385414121,-10.13899614585879,10.13899614585879,1.59,0.9434323054624136,0.6465676945375864,0.6465676945375864,-0.84,1.5433764127438985,-2.3833764127438983,2.3833764127438983,0.71,0.45,0.85,0.82,full,232,155,4,73,1121,79
38,3.8,-54.38,-42.726761861865754,-11.653238138134249,11.653238138134249,1.2,0.7441002885364001,0.45589971146359987,0.45589971146359987,-0.74,1.5661801329901055,-2.3061801329901055,2.3061801329901055,0.7,0.44,0.86,0.79,full,234,147,6,81,1474,90
39,3.9,-46.97,-41.8895559316206,-5.0804440683794,5.0804440683794,1.96,0.6414835474284697,1.3185164525715303,1.3185164525715303,-1.15,1.55065297674206,-2.70065297674206,2.70065297674206,0.71,0.44,0.87,0.81,full,230,148,3,79,1634,69
40,4.0,-58.75,-40.977922783787946,-17.772077216212054,17.772077216212054,1.64,0.5779425279484615,1.0620574720515386,1.0620574720515386,-1.1,1.6979031300906815,-2.7979031300906816,2.7979031300906816,0.7,0.44,0.84,0.81,full,266,163,4,99,2637,71
41,4.1,-66.89,-39.90901272119188,-26.980987278808122,26.980987278808122,1.47,0.44369851654930953,1.0263014834506905,1.0263014834506905,-2.49,1.9746990409183824,-4.464699040918383,4.464699040918383,0.64,0.25,0.85,0.82,full,250,146,3,101,2994,71
42,4.2,-66.42,-38.95148565396924,-27.46851434603076,27.46851434603076,1.3,0.1762991135617543,1.1237008864382458,1.1237008864382458,-1.13,2.1084273903019164,-3.2384273903019163,3.2384273903019163,0.68,0.44,0.8,0.8,full,232,144,5,83,2487,61
43,4.3,-68.36,-37.961758358660255,-30.398241641339744,30.398241641339744,1.03,0.00320856365273261,1.0267914363472674,1.0267914363472674,-1.59,1.8087131676689827,-3.3987131676689826,3.3987131676689826,0.69,0.45,0.82,0.8,full,277,151,2,124,5497,60
44,4.4,-70.59,-36.80151882352034,-33.788481176479664,33.788481176479664,0.5,0.02417881895452074,0.47582118104547927,0.47582118104547927,-0.0,1.5605078508183101,-1.5605078508183101,1.5605078508183101,0.69,0.45,0.82,0.8,full,276,157,3,116,4690,59
45,4.5,-69.94,-35.72917101415349,-34.210828985846504,34.210828985846504,1.37,0.09121488098482707,1.278785119015173,1.278785119015173,-0.76,1.592364304227584,-2.352364304227584,2.352364304227584,0.7,0.44,0.87,0.79,full,284,146,3,135,6512,61
46,4.6,-67.43,-34.64290033036497,-32.78709966963504,32.78709966963504,1.05,0.16810581709138353,0.8818941829086165,0.8818941829086165,-1.51,1.6948664537764881,-3.2048664537764884,3.2048664537764884,0.71,0.45,0.88,0.81,full,295,176,5,114,4414,55
47,4.7,-68.36,-33.44713741192694,-34.91286258807306,34.91286258807306,0.21,0.17200193009827314,0.037998069901726855,0.037998069901726855,-0.99,1.7794923201173107,-2.769492320117311,2.769492320117311,0.69,0.44,0.81,0.81,full,261,160,3,98,3580,51
48,4.8,-44.15,-32.39186374485499,-11.758136255145011,11.758136255145011,0.53,0.2262610332971621,0.30373896670283795,0.30373896670283795,-2.2,1.7268947945243012,-3.9268947945243013,3.9268947945243013,0.62,0.25,0.82,0.8,full,305,197,1,107,3859,60
49,4.9,-71.01,-31.35939379802925,-39.65060620197076,39.65060620197076,0.31,0.3018341664749177,0.008165833525082322,0.008165833525082322,-0.0,1.6552177743534353,-1.6552177743534353,1.6552177743534353,0.64,0.25,0.85,0.82,full,252,161,2,89,2885,47
50,5.0,-71.7,-30.231297195196166,-41.46870280480384,41.46870280480384,0.38,0.34927507191174983,0.03072492808825017,0.03072492808825017,-0.81,1.5383343841467474,-2.3483343841467477,2.3483343841467477,0.71,0.45,0.87,0.81,full,273,188,1,84,2446,43
51,5.1,-74.97,-29.25732623925328,-45.71267376074672,45.71267376074672,-0.34,0.36875563694619784,-0.7087556369461978,0.7087556369461978,-0.0,1.4916956196230982,-1.4916956196230982,1.4916956196230982,0.63,0.25,0.82,0.83,full,278,152,2,124,5345,34
52,5.2,-73.66,-28.3315410338809,-45.3284589661191,45.3284589661191,0.36,0.3596456080036177,0.00035439199638226393,0.00035439199638226393,-1.13,1.437952178439827,-2.567952178439827,2.567952178439827,0.69,0.45,0.8,0.81,full,254,165,2,87,2636,39
53,5.3,-67.03,-27.3145982433032,-39.7154017566968,39.7154017566968,-0.61,0.3641719745851512,-0.9741719745851511,0.9741719745851511,-0.86,1.345419494526199,-2.205419494526199,2.205419494526199,0.64,0.24,0.87,0.81,full,241,181,0,60,1234,41
54,5.4,-15.7,-26.431612985227087,10.731612985227088,10.731612985227088,-0.65,0.41115451378587875,-1.0611545137858789,1.0611545137858789,0.62,1.2709922769387052,-0.6509922769387052,0.6509922769387052,0.66,0.34,0.81,0.82,full,237,164,5,68,1614,33
55,5.5,-66.9,-25.57452541949089,-41.325474580509116,41.325474580509116,-0.73,0.4345884876067294,-1.1645884876067294,1.1645884876067294,-0.0,1.2248118786511608,-1.2248118786511608,1.2248118786511608,0.63,0.24,0.81,0.83,full,200,118,6,76,1876,19
56,5.6,-31.25,-24.68340416072392,-6.566595839276079,6.566595839276079,0.33,0.430119416804709,-0.10011941680470898,0.10011941680470898,-0.0,1.186652889495448,-1.186652889495448,1.186652889495448,0.66,0.34,0.83,0.81,full,189,115,5,69,1604,24
57,5.7,-62.79,-24.01344461087745,-38.77655538912255,38.77655538912255,-1.17,0.4651271380872023,-1.6351271380872023,1.6351271380872023,-0.0,1.1792617339382603,-1.1792617339382603,1.1792617339382603,0.66,0.29,0.86,0.83,full,172,111,4,57,1085,31
58,5.8,-77.1,-23.416938250366748,-53.68306174963325,53.68306174963325,-1.22,0.5291265238033153,-1.7491265238033153,1.7491265238033153,-0.0,1.135143983713187,-1.135143983713187,1.135143983713187,0.6,0.15,0.84,0.81,full,175,86,6,83,2402,25
59,5.9,-74.24,-22.891364064893246,-51.34863593510675,51.34863593510675,-1.19,0.5684314285492896,-1.7584314285492897,1.7584314285492897,0.91,1.0900522052363912,-0.1800522052363912,0.1800522052363912,0.63,0.24,0.84,0.8,full,119,65,4,50,918,29
60,6.0,-68.81,-22.405438558842793,-46.40456144115721,46.40456144115721,-1.36,0.5424764404298634,-1.9024764404298635,1.9024764404298635,-0.0,1.0511483709470084,-1.0511483709470084,1.0511483709470084,0.62,0.24,0.83,0.79,full,131,79,5,47,782,36
61,6.1,-44.54,-22.061434698646245,-22.478565301353754,22.478565301353754,-1.66,0.541502412178141,-2.201502412178141,2.201502412178141,-0.0,1.0166563116801326,-1.0166563116801326,1.0166563116801326,0.66,0.34,0.85,0.79,full,105,69,2,34,372,35
62,6.2,-67.08,-21.80904678989112,-45.27095321010888,45.27095321010888,-2.23,0.5853909792851621,-2.815390979285162,2.815390979285162,-0.0,1.0152239171923056,-1.0152239171923056,1.0152239171923056,0.65,0.24,0.91,0.8,full,97,33,5,59,1356,13
63,6.3,-39.46,-21.639966944548014,-17.820033055451987,17.820033055451987,-2.81,0.591578923472575,-3.401578923472575,3.401578923472575,0.92,1.0305218903222986,-0.11052189032229853,0.11052189032229853,0.68,0.34,0.89,0.8,full,82,41,4,37,502,19
64,6.4,-55.66,-21.59246874333167,-34.06753125666833,34.06753125666833,-2.14,0.5594932869452488,-2.699493286945249,2.699493286945249,0.86,1.067477668108237,-0.20747766810823698,0.20747766810823698,0.63,0.24,0.86,0.8,full,74,36,3,35,454,20
65,6.5,-40.68,-21.638534550060186,-19.041465449939814,19.041465449939814,-3.02,0.5056352542029515,-3.5256352542029514,3.5256352542029514,-0.0,1.0526380612143484,-1.0526380612143484,1.0526380612143484,0.74,0.54,0.87,0.8,full,90,51,5,34,470,24
66,6.6,-35.31,-21.799764873610002,-13.51023512639,13.51023512639,-2.4,0.40955023195951246,-2.8095502319595123,2.8095502319595123,-0.0,1.0596281463149444,-1.0596281463149444,1.0596281463149444,0.75,0.54,0.92,0.8,full,87,44,3,40,620,23
67,6.7,-13.06,-22.078680728279682,9.018680728279682,9.018680728279682,-2.94,0.2337667804133759,-3.173766780413376,3.173766780413376,-0.0,1.064154512896478,-1.064154512896478,1.064154512896478,0.73,0.54,0.86,0.8,full,80,38,3,39,610,19
68,6.8,-45.62,-22.476714508557066,-23.14328549144293,23.14328549144293,-2.27,0.06944248476985578,-2.339442484769856,2.339442484769856,1.07,1.082317275002125,-0.012317275002124983,0.012317275002124983,0.65,0.34,0.83,0.79,full,90,57,2,31,346,27
69,6.9,-67.24,-23.019649315223035,-44.22035068477696,44.22035068477696,-3.32,0.04165403170601085,-3.361654031706011,3.361654031706011,-2.79,1.0846664019621615,-3.8746664019621617,3.8746664019621617,0.63,0.24,0.86,0.79,full,74,43,2,29,330,19
70,7.0,-42.91,-23.583038715175174,-19.326961284824822,19.326961284824822,-3.21,0.1591103797078296,-3.3691103797078297,3.3691103797078297,-0.0,1.0345325948882145,-1.0345325948882145,1.0345325948882145,0.66,0.34,0.85,0.79,full,82,52,3,27,296,22
71,7.1,-42.45,-24.328456806640375,-18.121543193359628,18.121543193359628,-2.86,0.30676160351304277,-3.166761603513043,3.166761603513043,0.7,0.9113466689350874,-0.21134666893508747,0.21134666893508747,0.75,0.54,0.92,0.79,full,65,39,4,22,195,18
72,7.2,-65.61,-25.13168633963428,-40.47831366036572,40.47831366036572,-3.04,0.4129306829507843,-3.452930682950784,3.452930682950784,1.05,0.7924579264454416,0.2575420735545585,0.2575420735545585,0.65,0.3,0.86,0.8,full,78,49,0,29,338,23
73,7.3,-64.91,-26.009629569113237,-38.90037043088676,38.90037043088676,-3.13,0.5013953665189834,-3.6313953665189835,3.6313953665189835,-0.0,0.7528092470223886,-0.7528092470223886,0.7528092470223886,0.6,0.15,0.85,0.8,full,82,56,2,24,219,25
74,7.4,-64.46,-27.041125487687257,-37.41887451231274,37.41887451231274,-2.84,0.4883892245695137,-3.3283892245695137,3.3283892245695137,-0.9,0.7066861445143573,-1.6066861445143572,1.6066861445143572,0.63,0.3,0.81,0.79,full,64,41,0,23,217,12
75,7.5,-59.33,-28.091414421941572,-31.238585578058427,31.238585578058427,-3.54,0.4104096686522087,-3.9504096686522088,3.9504096686522088,-0.0,0.6768923391675545,-0.6768923391675545,0.6768923391675545,0.6,0.15,0.85,0.8,full,72,46,1,25,257,15
76,7.6,-64.4,-29.246382745366287,-35.153617254633716,35.153617254633716,-2.79,0.34898859301418445,-3.1389885930141843,3.1389885930141843,2.15,0.570035710375656,1.579964289624344,1.579964289624344,0.7,0.45,0.86,0.8,full,71,40,0,31,383,16
77,7.7,-59.58,-30.566420209568186,-29.013579790431812,29.013579790431812,-2.86,0.28412977060537525,-3.144129770605375,3.144129770605375,2.79,0.3743133275589668,2.415686672441033,2.415686672441033,0.7,0.44,0.88,0.79,full,71,37,3,31,321,12
78,7.8,-69.95,-31.770892086492207,-38.17910791350779,38.17910791350779,-3.16,0.21205167997791766,-3.372051679977918,3.372051679977918,2.31,0.25009607757460434,2.059903922425396,2.059903922425396,0.62,0.25,0.81,0.79,full,58,42,0,16,71,16
79,7.9,-63.13,-33.00017303594539,-30.129826964054615,30.129826964054615,-4.23,0.1445572517115067,-4.374557251711507,4.374557251711507,2.79,0.332716591632469,2.4572834083675312,2.4572834083675312,0.64,0.25,0.88,0.79,full,49,32,0,17,102,6
80,8.0,-65.51,-34.40953462040818,-31.100465379591824,31.100465379591824,-1.85,0.07534395005970325,-1.9253439500597034,1.9253439500597034,2.7,0.3689848200642502,2.33101517993575,2.33101517993575,0.71,0.54,0.81,0.77,full,52,40,0,12,51,7
81,8.1,-67.03,-35.75787619968955,-31.272123800310453,31.272123800310453,-1.96,-0.0008594366926962349,-1.9591405633073038,1.9591405633073038,3.15,0.3185645340927377,2.831435465907262,2.831435465907262,0.72,0.53,0.84,0.78,full,60,33,2,25,200,10
82,8.2,-65.27,-37.12203141411652,-28.147968585883476,28.147968585883476,-2.74,-0.0861728523876758,-2.6538271476123243,2.6538271476123243,-1.57,0.3199396328010517,-1.8899396328010518,1.8899396328010518,0.7,0.54,0.8,0.76,full,61,27,1,33,374,7
83,8.3,-67.21,-38.675434588275216,-28.534565411724778,28.534565411724778,-1.09,-0.0888084582452776,-1.0011915417547226,1.0011915417547226,2.23,0.46392392671742755,1.7660760732825724,1.7660760732825724,0.71,0.54,0.83,0.77,full,70,28,2,40,546,6
84,8.4,-67.94,-40.103188117961714,-27.836811882038283,27.836811882038283,-2.35,-0.06686417469176707,-2.283135825308233,2.283135825308233,-0.0,0.63684258928791,-0.63684258928791,0.63684258928791,0.7,0.54,0.79,0.77,full,72,35,4,33,364,13
85,8.5,-67.43,-41.54205702887375,-25.887942971126257,25.887942971126257,-0.12,-0.02223076245107594,-0.09776923754892405,0.09776923754892405,-1.85,0.7326984284132968,-2.582698428413297,2.582698428413297,0.7,0.54,0.79,0.76,full,71,41,2,28,249,12
86,8.6,-63.52,-43.128519867811484,-20.39148013218852,20.39148013218852,-0.95,-5.729577951308232e-05,-0.9499427042204869,0.9499427042204869,-0.0,0.6992376931776566,-0.6992376931776566,0.6992376931776566,0.7,0.54,0.79,0.78,full,73,37,3,33,318,15
87,8.7,-66.31,-44.565669905338126,-21.744330094661876,21.744330094661876,4.72,0.0022345354010102104,4.7177654645989895,4.7177654645989895,-0.0,0.5610975687716152,-0.5610975687716152,0.5610975687716152,0.7,0.53,0.8,0.77,full,68,25,4,39,530,9
88,8.8,-61.15,-45.99714766069298,-15.152852339307017,15.152852339307017,4.77,0.04549284893338736,4.724507151066613,4.724507151066613,-0.0,0.4671324903701602,-0.4671324903701602,0.4671324903701602,0.69,0.54,0.76,0.78,full,64,22,8,34,340,7
89,8.9,-63.28,-47.532158889627965,-15.747841110372036,15.747841110372036,-0.82,0.0716197243913529,-0.8916197243913528,0.8916197243913528,-0.0,0.5994284452658674,-0.5994284452658674,0.5994284452658674,0.71,0.54,0.81,0.78,full,61,19,5,37,478,10
90,9.0,-62.57,-48.907314893721455,-13.662685106278545,13.662685106278545,1.4,0.08697499330085896,1.313025006699141,1.313025006699141,-0.0,0.740547950206589,-0.740547950206589,0.740547950206589,0.71,0.54,0.81,0.78,full,70,23,5,42,635,13
91,9.1,-63.42,-50.3089988437295,-13.111001156270504,13.111001156270504,2.57,0.10158541707669497,2.468414582923305,2.468414582923305,-0.0,0.698091777587395,-0.698091777587395,0.698091777587395,0.72,0.54,0.82,0.79,full,77,23,6,48,763,17
92,9.2,-61.53,-51.83123311383307,-9.69876688616693,9.69876688616693,2.12,0.1137321223334684,2.0062678776665317,2.0062678776665317,-0.0,0.5569722726466733,-0.5569722726466733,0.5569722726466733,0.71,0.54,0.81,0.78,full,79,23,8,48,812,11
93,9.3,-59.08,-53.17361593204508,-5.906384067954917,5.906384067954917,3.61,0.1883312272595016,3.421668772740498,3.421668772740498,-0.0,0.5125680435240345,-0.5125680435240345,0.5125680435240345,0.74,0.54,0.87,0.82,full,70,21,9,40,612,16
94,9.4,-59.5,-54.528260047072884,-4.971739952927116,4.971739952927116,2.61,0.32389304158745436,2.2861069584125455,2.2861069584125455,-0.94,0.4251346839870709,-1.3651346839870708,1.3651346839870708,0.71,0.54,0.78,0.81,full,64,24,6,34,398,16
95,9.5,-57.36,-56.03531093560549,-1.3246890643945122,1.3246890643945122,2.13,0.38393901851716467,1.7460609814828352,1.7460609814828352,-0.0,0.2078690880734627,-0.2078690880734627,0.2078690880734627,0.73,0.54,0.82,0.82,full,67,16,9,42,582,13
96,9.6,-57.63,-57.4478237879415,-0.18217621205850065,0.18217621205850065,0.79,0.3579267346182253,0.43207326538177476,0.43207326538177476,-0.0,-0.001059971920992023,0.001059971920992023,0.001059971920992023,0.82,0.79,0.87,0.81,full,58,15,5,38,441,13
97,9.7,-55.67,-58.860336640277524,3.190336640277522,3.190336640277522,0.21,0.33191445071928594,-0.12191445071928594,0.12191445071928594,-0.0,-0.2099890319154467,0.2099890319154467,0.2099890319154467,0.72,0.54,0.8,0.83,full,56,16,6,34,398,12
98,9.8,-51.48,-60.2853972683269,8.805397268326907,8.805397268326907,-2.04,0.3378159160091334,-2.3778159160091334,2.3778159160091334,-0.0,-0.24293410513546904,0.24293410513546904,0.24293410513546904,0.73,0.54,0.84,0.81,full,39,12,5,22,153,8
99,9.9,-51.01,-61.857135091929784,10.847135091929786,10.847135091929786,-1.48,0.36560436907297833,-1.8456043690729782,1.8456043690729782,-1.68,-0.3064751246154773,-1.3735248753845226,1.3735248753845226,0.82,0.79,0.84,0.83,full,39,15,4,20,119,13
100,10.0,-50.52,-63.31760451171826,12.797604511718255,12.797604511718255,-1.71,0.4528085454918896,-2.1628085454918895,2.1628085454918895,-0.94,-0.3793553561561181,-0.5606446438438819,0.5606446438438819,0.84,0.8,0.88,0.84,full,33,9,6,18,110,6
101,10.1,-45.92,-64.88269602489761,18.96269602489761,18.96269602489761,-1.35,0.5645926113219132,-1.9145926113219134,1.9145926113219134,-1.18,-0.5172662974441072,-0.6627337025558927,0.6627337025558927,0.82,0.8,0.85,0.81,full,40,16,5,19,123,14
102,10.2,-42.21,-66.2381995766181,24.0281995766181,24.0281995766181,-0.48,0.6772361138446331,-1.157236113844633,1.157236113844633,-1.85,-0.6406814065152865,-1.2093185934847135,1.2093185934847135,0.8,0.79,0.79,0.83,full,34,9,8,17,95,8
103,10.3,-39.78,-67.58367636692383,27.803676366923824,27.803676366923824,-1.08,0.7219841176443503,-1.8019841176443503,1.8019841176443503,-0.0,-0.7144783705281366,0.7144783705281366,0.7144783705281366,0.73,0.54,0.84,0.81,full,43,17,5,21,166,15
