frame_index,time_sec,segment,raw_vp_yaw,image_geometry_yaw,reliability_gated_yaw,calibrated_heading_yaw,oxts_yaw,raw_abs_yaw_error,current_abs_yaw_error,calibrated_abs_yaw_error,yaw_confidence_before,yaw_confidence_after,confidence_failure_before,confidence_failure_after,yaw_calibration_model,yaw_calibration_scale,yaw_calibration_offset,comparison_ready,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,yaw_warning_flags
41,4.1,calibration_0_80,66.89,66.89,-66.89,-37.4701,-39.90901272119188,106.79901272119187,26.980987278808122,2.438912721191876,0.25,0.15,False,False,linear,-0.2705094869167766,-55.56446532378772,True,130.15014790617795,True,0.9763,0.0307,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
42,4.2,calibration_0_80,66.42,66.42,-66.42,-37.5972,-38.95148565396924,105.37148565396924,27.46851434603076,1.3542856539692423,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,17.8616572579366,True,0.9863,0.0366,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
43,4.3,calibration_0_80,68.36,68.36,-68.36,-37.0724,-37.961758358660255,106.32175835866025,30.398241641339744,0.8893583586602531,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,43.52507897752729,True,0.9822,0.0111,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
44,4.4,calibration_0_80,70.59,70.59,-70.59,-36.4692,-36.80151882352034,107.39151882352034,33.788481176479664,0.3323188235203389,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,60.56071333793891,True,0.9841,0.0094,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
45,4.5,calibration_0_80,69.94,69.94,-69.94,-36.645,-35.72917101415349,105.66917101415349,34.210828985846504,0.9158289858465096,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,21.0575805827735,True,0.9728,0.0227,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
46,4.6,calibration_0_80,67.43,67.43,-67.43,-37.324,-34.64290033036497,102.07290033036497,32.78709966963504,2.6810996696350315,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,62.92213600951577,True,0.9871,0.0292,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
47,4.7,calibration_0_80,68.36,68.36,-68.36,-37.0724,-33.44713741192694,101.80713741192693,34.91286258807306,3.6252625880730633,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,22.49252320216659,True,0.9815,0.0466,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
48,4.8,calibration_0_80,44.15,44.15,-44.15,-43.6215,-32.39186374485499,76.541863744855,11.758136255145011,11.22963625514501,0.25,0.15,False,False,linear,-0.2705094869167766,-55.56446532378772,True,291.80319000997923,True,0.9997,0.1524,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
49,4.9,calibration_0_80,71.01,71.01,-71.01,-36.3556,-31.35939379802925,102.36939379802925,39.65060620197076,4.996206201970754,0.25,0.15,False,False,linear,-0.2705094869167766,-55.56446532378772,True,364.39530252186296,True,0.9906,0.0094,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
50,5.0,calibration_0_80,71.7,71.7,-71.7,-36.1689,-30.231297195196166,101.93129719519617,41.46870280480384,5.937602804803834,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,22.56563980923195,True,0.994,0.0065,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
51,5.1,calibration_0_80,74.97,74.97,-74.97,-35.2844,-29.25732623925328,104.22732623925327,45.71267376074672,6.027073760746717,0.25,0.15,False,False,linear,-0.2705094869167766,-55.56446532378772,True,131.79400669226212,True,0.9765,0.0062,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
52,5.2,calibration_0_80,73.66,73.66,-73.66,-35.6387,-28.3315410338809,101.99154103388089,45.3284589661191,7.3071589661191005,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,60.24880496740173,True,0.9767,0.0083,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
53,5.3,calibration_0_80,67.03,67.03,-67.03,-37.4322,-27.3145982433032,94.34459824330321,39.7154017566968,10.1176017566968,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,197.472657854195,True,0.9981,0.1191,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
54,5.4,calibration_0_80,15.7,15.7,-15.7,-51.3175,-26.431612985227087,42.131612985227086,10.731612985227088,24.885887014772916,0.34,0.24,False,False,linear,-0.2705094869167766,-55.56446532378772,True,397.97813231382446,True,0.9903,0.658,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
55,5.5,calibration_0_80,66.9,66.9,-66.9,-37.4674,-25.57452541949089,92.4745254194909,41.325474580509116,11.892874580509108,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,389.25471930344,True,0.984,0.0959,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
56,5.6,calibration_0_80,31.25,31.25,-31.25,-47.111,-24.68340416072392,55.933404160723924,6.566595839276079,22.427595839276076,0.34,0.24,False,False,linear,-0.2705094869167766,-55.56446532378772,True,328.2535270183702,True,0.9898,0.6222,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
57,5.7,calibration_0_80,-62.79,-62.79,-62.79,-38.5792,-24.01344461087745,38.77655538912255,38.77655538912255,14.56575538912255,0.29,0.17,False,False,linear,-0.2705094869167766,-55.56446532378772,True,479.5502135334735,True,0.9966,0.1724,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
58,5.8,calibration_0_80,77.1,77.1,-77.1,-34.7082,-23.416938250366748,100.51693825036674,53.68306174963325,11.29126174963325,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,1180.6435006808788,True,0.9781,0.0071,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
59,5.9,calibration_0_80,74.24,74.24,-74.24,-35.4818,-22.891364064893246,97.13136406489323,51.34863593510675,12.590435935106754,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,154.6867961398127,True,0.9886,0.1623,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
60,6.0,calibration_0_80,68.81,68.81,-68.81,-36.9507,-22.405438558842793,91.21543855884279,46.40456144115721,14.545261441157205,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,181.43697197649664,True,0.9983,0.1279,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
61,6.1,calibration_0_80,44.54,44.54,-44.54,-43.516,-22.061434698646245,66.60143469864624,22.478565301353754,21.454565301353753,0.34,0.24,False,False,linear,-0.2705094869167766,-55.56446532378772,True,308.0777336971953,True,0.953,0.9032,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
62,6.2,calibration_0_80,67.08,67.08,-67.08,-37.4187,-21.80904678989112,88.88904678989113,45.27095321010888,15.609653210108881,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,266.02062213294676,True,0.9818,0.0715,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
63,6.3,calibration_0_80,39.46,39.46,-39.46,-44.8902,-21.639966944548014,61.099966944548015,17.820033055451987,23.250233055451986,0.34,0.24,False,False,linear,-0.2705094869167766,-55.56446532378772,True,292.7878938754129,True,0.9705,0.7271,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
64,6.4,calibration_0_80,55.66,55.66,-55.66,-40.5079,-21.59246874333167,77.25246874333166,34.06753125666833,18.91543125666833,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,120.20506811278808,True,0.9903,0.2357,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
65,6.5,calibration_0_80,40.68,40.68,-40.68,-44.5601,-21.638534550060186,62.318534550060185,19.041465449939814,22.921565449939813,0.54,0.43,False,False,linear,-0.2705094869167766,-55.56446532378772,True,119.35301671931046,True,0.9898,0.734,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
66,6.6,calibration_0_80,35.31,35.31,-35.31,-46.0128,-21.799764873610002,57.109764873610004,13.51023512639,24.213035126389997,0.54,0.43,False,False,linear,-0.2705094869167766,-55.56446532378772,True,28.914318252381445,True,0.9955,0.7742,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
67,6.7,calibration_0_80,13.06,13.06,-13.06,-52.0316,-22.078680728279682,35.13868072827968,9.018680728279682,29.952919271720315,0.54,0.43,False,False,linear,-0.2705094869167766,-55.56446532378772,True,89.30107110219905,True,0.987,0.7754,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
68,6.8,calibration_0_80,45.62,45.62,-45.62,-43.2238,-22.476714508557066,68.09671450855706,23.14328549144293,20.74708549144293,0.34,0.24,False,False,linear,-0.2705094869167766,-55.56446532378772,True,148.8876438795376,True,0.9963,0.578,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
69,6.9,calibration_0_80,67.24,67.24,-67.24,-37.3754,-23.019649315223035,90.25964931522303,44.22035068477696,14.355750684776964,0.24,0.14,False,False,linear,-0.2705094869167766,-55.56446532378772,True,280.1048525106268,True,0.9889,0.1364,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
70,7.0,calibration_0_80,42.91,42.91,-42.91,-43.9569,-23.583038715175174,66.49303871517517,19.326961284824822,20.373861284824823,0.34,0.24,False,False,linear,-0.2705094869167766,-55.56446532378772,True,305.16575250181666,True,0.984,0.6622,"[""yaw_sign_reference_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity""]"
71,7.1,calibration_0_80,42.45,42.45,-42.45,-44.0813,-24.328456806640375,66.77845680664038,18.121543193359628,19.752843193359624,0.54,0.43,False,False,linear,-0.2705094869167766,-55.56446532378772,True,18.56239478084659,True,0.9837,0.6205,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity""]"
72,7.2,calibration_0_80,-65.61,-65.61,-65.61,-37.8163,-25.13168633963428,40.47831366036572,40.47831366036572,12.68461366036572,0.3,0.18,False,False,linear,-0.2705094869167766,-55.56446532378772,True,591.5045434314093,True,0.9996,0.0947,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
73,7.3,calibration_0_80,64.91,64.91,-64.91,-38.0057,-26.009629569113237,90.91962956911323,38.90037043088676,11.99607043088676,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,811.953166383382,True,0.9876,0.0594,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
74,7.4,calibration_0_80,-64.46,-64.46,-64.46,-38.1274,-27.041125487687257,37.41887451231274,37.41887451231274,11.086274512312745,0.3,0.18,False,False,linear,-0.2705094869167766,-55.56446532378772,True,790.8464101834187,True,0.9854,0.0737,"[""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
75,7.5,calibration_0_80,59.33,59.33,-59.33,-39.5151,-28.091414421941572,87.42141442194156,31.238585578058427,11.423685578058425,0.15,0.09,False,False,linear,-0.2705094869167766,-55.56446532378772,True,709.9257404123337,True,0.9726,0.0584,"[""yaw_sign_reference_flip"", ""vp_side_flip"", ""large_temporal_jump"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
76,7.6,calibration_0_80,64.4,64.4,-64.4,-38.1437,-29.246382745366287,93.6463827453663,35.153617254633716,8.897317254633716,0.45,0.32,False,False,linear,-0.2705094869167766,-55.56446532378772,True,78.98744457190647,True,0.9712,0.0653,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
77,7.7,calibration_0_80,59.58,59.58,-59.58,-39.4475,-30.566420209568186,90.14642020956819,29.013579790431812,8.881079790431812,0.44,0.31,False,False,linear,-0.2705094869167766,-55.56446532378772,True,75.19815489757707,True,0.977,0.1371,"[""yaw_sign_reference_flip"", ""high_cluster_ambiguity"", ""low_line_support_consistency""]"
