frame_index,time_sec,selected_vanishing_point_x,selected_vanishing_point_y,yaw,yaw_confidence,pred_yaw,oxts_yaw,abs_yaw_error,raw_vp_yaw,image_geometry_yaw,calibrated_heading_yaw,comparison_type,calibrated_pose,comparison_warning,vp_temporal_jump,vp_side_flip,vp_cluster_ambiguity,line_support_consistency,selected_cluster_id,second_best_cluster_id,adjusted_yaw_confidence,yaw_warning_flags,confidence_failure_before,confidence_failure_after,detected_line_count,perspective_line_count,vanishing_point_candidate_count
10,1.0,647.61,159.58,-8.1,0.15,-8.1,-62.63773279201601,54.53773279201601,8.1,8.1,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,236.12602948425658,True,0.9694,0.1739,3,2,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,122,16,69
11,1.1,966.26,240.21,-61.56,0.24,-61.56,-61.954595212881536,0.39459521288153354,61.56,61.56,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,328.69289526851657,True,0.9992,0.1295,3,2,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,117,32,193
12,1.2,724.98,184.13,-29.08,0.24,-29.08,-61.313340848571116,32.23334084857112,29.08,29.08,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,247.7115354600992,True,0.9733,0.0933,4,3,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,148,34,225
13,1.3,253.19,97.82,-63.05,0.39,-63.05,-60.604534760214776,2.4454652397852215,-63.05,-63.05,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,479.6198705224795,True,1.0,0.8452,2,3,0.0195,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip""]",False,False,118,23,155
14,1.4,663.15,137.84,-12.7,0.15,-12.7,-59.92603813922085,47.22603813922085,12.7,12.7,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,411.9087301818207,True,0.9796,0.2139,4,3,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,142,29,173
15,1.5,230.89,106.86,-64.39,0.4,-64.39,-59.25544833579974,5.134551664200259,-64.39,-64.39,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,433.3687436814058,True,0.9991,0.3614,2,3,0.02,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip""]",False,False,160,34,321
16,1.6,1058.9,246.73,-66.88,0.15,-66.88,-58.58119160248979,8.298808397510207,66.88,66.88,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,839.7405414769494,True,0.9997,0.0983,5,4,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,145,54,773
17,1.7,820.81,202.79,-46.9,0.24,-46.9,-57.96818405747932,11.068184057479321,46.9,46.9,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,242.1106600296651,True,0.9912,0.1603,3,4,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,157,61,605
18,1.8,993.32,242.18,-63.33,0.25,-63.33,-57.33581053899343,5.99418946100657,63.33,63.33,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,176.94991438257335,True,0.9969,0.0567,6,5,0.0125,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,166,55,847
19,1.9,694.25,196.23,-21.39,0.25,-21.39,-56.670434651508,35.280434651508,21.39,21.39,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,302.5793571941087,True,0.9733,0.134,3,2,0.0125,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,163,56,985
20,2.0,708.47,188.49,-25.07,0.45,-25.07,-55.91298444634506,30.842984446345056,25.07,25.07,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,16.189996911673592,True,0.9708,0.1539,5,4,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,198,68,877
21,2.1,538.55,154.07,-23.79,0.4,-23.79,-55.23964444550732,31.449644445507317,-23.79,-23.79,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,173.37111293407568,True,0.9977,0.3707,4,5,0.02,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip""]",False,False,173,46,553
22,2.2,712.01,200.42,-25.95,0.15,-25.95,-54.48918432544497,28.539184325444968,25.95,25.95,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,179.54579944961122,True,0.9832,0.1536,5,6,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,194,58,1009
23,2.3,859.82,195.6,-51.94,0.24,-51.94,-53.80593215475145,1.8659321547514551,51.94,51.94,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,147.88856784755208,True,0.9929,0.0869,6,5,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,198,65,1220
24,2.4,699.61,185.29,-22.8,0.24,-22.8,-53.13505587243277,30.335055872432772,22.8,22.8,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,160.54139715350684,True,0.9965,0.258,5,6,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,208,68,1027
25,2.5,569.25,147.27,-15.47,0.3,-15.47,-52.505719030261076,37.03571903026108,-15.47,-15.47,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,135.79120000942623,True,0.9952,0.1547,2,3,0.015,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip""]",False,False,203,81,1674
26,2.6,703.75,187.72,-23.87,0.15,-23.87,-51.70976606126534,27.83976606126534,23.87,23.87,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,140.4508899936202,True,0.9813,0.179,3,4,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,222,79,1804
27,2.7,771.91,197.98,-38.9,0.44,-38.9,-51.0307537782558,12.130753778255801,38.9,38.9,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,68.92788405282724,True,0.9947,0.1303,4,5,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,208,76,1190
28,2.8,804.76,188.89,-44.5,0.44,-44.5,-50.39901051334455,5.89901051334455,44.5,44.5,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,34.08446273597402,True,0.976,0.1379,5,6,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,193,74,1566
29,2.9,737.27,189.99,-31.87,0.44,-31.87,-49.64660233677876,17.776602336778762,31.87,31.87,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,67.4989636957487,True,0.98,0.1751,3,4,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,224,74,1485
30,3.0,765.86,189.44,-37.76,0.44,-37.76,-48.96993918072925,11.20993918072925,37.76,37.76,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,28.595289821927,True,0.9793,0.1886,5,6,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,225,71,896
31,3.1,747.56,179.16,-34.09,0.44,-34.09,-48.21924987754885,14.129249877548844,34.09,34.09,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,20.989721294004895,True,0.9987,0.2085,3,4,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,234,81,1722
32,3.2,631.19,131.26,-3.12,0.24,-3.12,-47.498640858612816,44.37864085861282,3.12,3.12,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,125.8427069797848,True,0.9936,0.0794,3,4,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,224,108,2695
33,3.3,822.94,184.87,-47.2,0.24,-47.2,-46.75499893631252,0.44500106368748504,47.2,47.2,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,199.1032259909417,True,0.9817,0.1477,3,4,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,224,86,2166
34,3.4,826.36,191.46,-47.68,0.44,-47.68,-46.04607825639715,1.6339217436028477,47.68,47.68,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,7.424587530630895,True,0.9697,0.1854,3,2,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,243,80,1586
35,3.5,816.6,179.48,-46.29,0.44,-46.29,-45.24766156888235,1.0423384311176491,46.29,46.29,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,15.452443172521305,True,0.9894,0.2311,4,5,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,222,87,2354
36,3.6,910.57,177.28,-57.15,0.44,-57.15,-44.43056645724628,12.71943354275372,57.15,57.15,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,93.99574937197961,True,0.9662,0.088,4,3,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,214,77,1716
37,3.7,876.23,186.4,-53.77,0.45,-53.77,-43.63100385414121,10.13899614585879,53.77,53.77,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,35.5304095107276,True,0.9824,0.1561,6,7,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,232,73,1121
38,3.8,882.02,180.43,-54.38,0.44,-54.38,-42.726761861865754,11.653238138134249,54.38,54.38,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,8.316549765377442,True,0.9721,0.2707,5,6,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,234,81,1474
39,3.9,821.35,170.23,-46.97,0.44,-46.97,-41.8895559316206,5.0804440683794,46.97,46.97,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,61.521450730619115,True,0.9864,0.1432,5,6,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,230,79,1634
40,4.0,929.11,186.8,-58.75,0.44,-58.75,-40.977922783787946,17.772077216212054,58.75,58.75,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,109.02652200267602,True,0.9707,0.1604,6,5,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,266,99,2637
41,4.1,1059.24,184.51,-66.89,0.25,-66.89,-39.90901272119188,26.980987278808122,66.89,66.89,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,130.15014790617795,True,0.9763,0.0307,7,6,0.0125,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,250,101,2994
42,4.2,1049.42,199.43,-66.42,0.44,-66.42,-38.95148565396924,27.46851434603076,66.42,66.42,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,17.8616572579366,True,0.9863,0.0366,8,7,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,232,83,2487
43,4.3,1092.32,192.08,-68.36,0.45,-68.36,-37.961758358660255,30.398241641339744,68.36,68.36,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,43.52507897752729,True,0.9822,0.0111,7,6,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,277,124,5497
44,4.4,1151.72,180.28,-70.59,0.45,-70.59,-36.80151882352034,33.788481176479664,70.59,70.59,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,60.56071333793891,True,0.9841,0.0094,7,6,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,276,116,4690
45,4.5,1133.21,190.32,-69.94,0.44,-69.94,-35.72917101415349,34.210828985846504,69.94,69.94,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,21.0575805827735,True,0.9728,0.0227,7,6,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,284,135,6512
46,4.6,1070.97,199.56,-67.43,0.45,-67.43,-34.64290033036497,32.78709966963504,67.43,67.43,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,62.92213600951577,True,0.9871,0.0292,7,6,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,295,114,4414
47,4.7,1092.41,192.76,-68.36,0.44,-68.36,-33.44713741192694,34.91286258807306,68.36,68.36,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,22.49252320216659,True,0.9815,0.0466,5,4,0.044,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,261,98,3580
48,4.8,802.52,159.4,-44.15,0.25,-44.15,-32.39186374485499,11.758136255145011,44.15,44.15,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,291.80319000997923,True,0.9997,0.1524,5,6,0.0125,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,305,107,3859
49,4.9,1164.46,201.63,-71.01,0.25,-71.01,-31.35939379802925,39.65060620197076,71.01,71.01,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,364.39530252186296,True,0.9906,0.0094,8,7,0.0125,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,252,89,2885
50,5.0,1186.37,207.03,-71.7,0.45,-71.7,-30.231297195196166,41.46870280480384,71.7,71.7,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,22.56563980923195,True,0.994,0.0065,6,5,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,273,84,2446
51,5.1,1317.48,193.62,-74.97,0.25,-74.97,-29.25732623925328,45.71267376074672,74.97,74.97,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,131.79400669226212,True,0.9765,0.0062,8,7,0.0125,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,278,124,5345
52,5.2,1258.84,207.45,-73.66,0.45,-73.66,-28.3315410338809,45.3284589661191,73.66,73.66,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,60.24880496740173,True,0.9767,0.0083,7,6,0.045,"[""high_cluster_ambiguity"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,254,87,2636
53,5.3,1062.25,226.1,-67.03,0.24,-67.03,-27.3145982433032,39.7154017566968,67.03,67.03,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,197.472657854195,True,0.9981,0.1191,6,5,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,241,60,1234
54,5.4,673.58,140.53,-15.7,0.34,-15.7,-26.431612985227087,10.731612985227088,15.7,15.7,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,397.97813231382446,True,0.9903,0.658,7,8,0.017,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,237,68,1614
55,5.5,1059.37,192.35,-66.9,0.24,-66.9,-25.57452541949089,41.325474580509116,66.9,66.9,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,389.25471930344,True,0.984,0.0959,7,6,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,200,76,1876
56,5.6,734.49,145.41,-31.25,0.34,-31.25,-24.68340416072392,6.566595839276079,31.25,31.25,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,328.2535270183702,True,0.9898,0.6222,6,7,0.017,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,189,69,1604
57,5.7,257.32,193.13,-62.79,0.29,-62.79,-24.01344461087745,38.77655538912255,-62.79,-62.79,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,479.5502135334735,True,0.9966,0.1724,5,7,0.0145,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip""]",False,False,172,57,1085
58,5.8,1437.58,223.22,-77.1,0.15,-77.1,-23.416938250366748,53.68306174963325,77.1,77.1,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,1180.6435006808788,True,0.9781,0.0071,9,7,0.0075,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,175,83,2402
59,5.9,1283.51,237.02,-74.24,0.24,-74.24,-22.891364064893246,51.34863593510675,74.24,74.24,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,154.6867961398127,True,0.9886,0.1623,10,9,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,119,50,918
60,6.0,1103.33,215.7,-68.81,0.24,-68.81,-22.405438558842793,46.40456144115721,68.81,68.81,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,181.43697197649664,True,0.9983,0.1279,7,8,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,131,47,782
61,6.1,805.03,138.7,-44.54,0.34,-44.54,-22.061434698646245,22.478565301353754,44.54,44.54,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,308.0777336971953,True,0.953,0.9032,2,3,0.017,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,105,34,372
62,6.2,1063.2,202.85,-67.08,0.24,-67.08,-21.80904678989112,45.27095321010888,67.08,67.08,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,266.02062213294676,True,0.9818,0.0715,4,3,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,97,59,1356
63,6.3,774.92,151.67,-39.46,0.34,-39.46,-21.639966944548014,17.820033055451987,39.46,39.46,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,292.7878938754129,True,0.9705,0.7271,6,7,0.017,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,82,37,502
64,6.4,894.7,161.77,-55.66,0.24,-55.66,-21.59246874333167,34.06753125666833,55.66,55.66,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,120.20506811278808,True,0.9903,0.2357,4,6,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,74,35,454
65,6.5,781.71,123.32,-40.68,0.54,-40.68,-21.638534550060186,19.041465449939814,40.68,40.68,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,119.35301671931046,True,0.9898,0.734,5,7,0.108,"[""high_cluster_ambiguity"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,90,34,470
66,6.6,753.44,129.39,-35.31,0.54,-35.31,-21.799764873610002,13.51023512639,35.31,35.31,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,28.914318252381445,True,0.9955,0.7742,9,11,0.108,"[""high_cluster_ambiguity"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,87,40,620
67,6.7,664.37,122.97,-13.06,0.54,-13.06,-22.078680728279682,9.018680728279682,13.06,13.06,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,89.30107110219905,True,0.987,0.7754,4,5,0.108,"[""high_cluster_ambiguity"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,80,39,610
68,6.8,812.09,141.58,-45.62,0.34,-45.62,-22.476714508557066,23.14328549144293,45.62,45.62,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,148.8876438795376,True,0.9963,0.578,6,7,0.017,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,90,31,346
69,6.9,1066.69,258.36,-67.24,0.24,-67.24,-23.019649315223035,44.22035068477696,67.24,67.24,,geometry_single_frame_yaw_vs_oxts_absolute_heading,False,not_same_coordinate_semantics,280.1048525106268,True,0.9889,0.1364,6,5,0.012,"[""high_cluster_ambiguity"", ""large_temporal_jump"", ""low_line_support_consistency"", ""vp_side_flip"", ""yaw_sign_reference_flip""]",False,False,74,29,330
